"focalid","role","dyadid","outcome","focalcode","partcode","obs"
3,1,31,1,0,1,311
3,2,31,1,1,0,312
3,1,32,1.5,0,1,321
3,2,32,1,1,0,322
3,1,33,1.5,0,1,331
3,2,33,3.83333333333333,1,0,332
5,1,51,2.16666666666667,0,1,511
5,2,51,2.33333333333333,1,0,512
5,1,52,2,0,1,521
5,2,52,3.5,1,0,522
5,1,53,2.16666666666667,0,1,531
5,2,53,2,1,0,532
6,1,61,1.16666666666667,0,1,611
6,2,61,1,1,0,612
6,1,62,1.33333333333333,0,1,621
6,2,62,1.16666666666667,1,0,622
6,1,63,1,0,1,631
6,2,63,3.66666666666667,1,0,632
8,1,81,3.33333333333333,0,1,811
8,2,81,1.16666666666667,1,0,812
8,1,82,2.16666666666667,0,1,821
8,2,82,2.33333333333333,1,0,822
8,1,83,3.16666666666667,0,1,831
8,2,83,2.32959641255605,1,0,832
10,1,101,1.16666666666667,0,1,1011
10,2,101,1.33333333333333,1,0,1012
10,1,102,1,0,1,1021
10,2,102,1,1,0,1022
10,1,103,1,0,1,1031
10,2,103,2,1,0,1032
13,1,131,1.5,0,1,1311
13,2,131,2.83333333333333,1,0,1312
13,1,132,1.83333333333333,0,1,1321
13,2,132,1.33333333333333,1,0,1322
13,1,133,2,0,1,1331
13,2,133,2,1,0,1332
14,1,141,1,0,1,1411
14,2,141,2,1,0,1412
14,1,142,1,0,1,1421
14,2,142,1.5,1,0,1422
14,1,143,1.16666666666667,0,1,1431
14,2,143,1.66666666666667,1,0,1432
18,1,181,1,0,1,1811
18,2,181,1,1,0,1812
18,1,182,1,0,1,1821
18,2,182,1,1,0,1822
18,1,183,1,0,1,1831
18,2,183,1.33333333333333,1,0,1832
21,1,211,3.33333333333333,0,1,2111
21,2,211,2.16666666666667,1,0,2112
21,1,212,1.33333333333333,0,1,2121
21,2,212,1,1,0,2122
21,1,213,2.33333333333333,0,1,2131
21,2,213,1,1,0,2132
22,1,221,1.83333333333333,0,1,2211
22,2,221,1.83333333333333,1,0,2212
22,1,222,1.5,0,1,2221
22,2,222,1,1,0,2222
22,1,223,2.16666666666667,0,1,2231
22,2,223,1.5,1,0,2232
26,1,261,1,0,1,2611
26,2,261,1.16666666666667,1,0,2612
26,1,262,1,0,1,2621
26,2,262,1,1,0,2622
26,1,263,1,0,1,2631
26,2,263,1,1,0,2632
27,1,271,3.83333333333333,0,1,2711
27,2,271,3,1,0,2712
27,1,272,3.33333333333333,0,1,2721
27,2,272,2,1,0,2722
27,1,273,3.16666666666667,0,1,2731
27,2,273,1.83333333333333,1,0,2732
29,1,291,1.16666666666667,0,1,2911
29,2,291,2,1,0,2912
29,1,292,1.16666666666667,0,1,2921
29,2,292,1.5,1,0,2922
29,1,293,1.16666666666667,0,1,2931
29,2,293,2,1,0,2932
33,1,331,2.33333333333333,0,1,3311
33,2,331,1,1,0,3312
33,1,332,1.66666666666667,0,1,3321
33,2,332,1.83333333333333,1,0,3322
33,1,333,1.83333333333333,0,1,3331
33,2,333,1,1,0,3332
34,1,341,1,0,1,3411
34,2,341,1,1,0,3412
34,1,342,1.5,0,1,3421
34,2,342,1.33333333333333,1,0,3422
34,1,343,1.16666666666667,0,1,3431
34,2,343,1,1,0,3432
35,1,351,1,0,1,3511
35,2,351,1,1,0,3512
35,1,352,1,0,1,3521
35,2,352,1,1,0,3522
